国家,分区
中国澳门,A
中国香港,V
中国台湾,X
韩国,Z
日本,P
越南,B
文莱,G
柬埔寨,G
老挝,G
马来西亚,Q
菲律宾,S
印度尼西亚,T
新加坡,Y
新西兰,E
澳大利亚,U
美国,1
墨西哥,L
加拿大,N
保加利亚,F
捷克共和国,F
爱沙尼亚,F
希腊,F
克罗地亚,F
匈牙利,F
立陶宛,F
拉脱维亚,F
波兰,F
斯洛文尼亚,F
斯洛伐克,F
安道尔,G
塞浦路斯,G
直布罗陀,G
冰岛,G
摩纳哥,G
马耳他,G
列支敦士登,J
比利时,K
德国,K
英国,K
荷兰,K
奥地利,M
瑞士,M
丹麦,M
西班牙,M
芬兰,M
法国,M
爱尔兰,M
意大利,M
卢森堡,M
挪威,M
葡萄牙,M
瑞典,M
印度,O
土耳其,F
埃及,H
科威特,H
阿拉伯联合酋长国,I
巴林,I
以色列,I
沙特阿拉伯,I
阿根廷,C
巴西,C
智利,C
哥伦比亚,C
孟加拉,D
尼泊尔,D
巴基斯坦,D
罗马尼亚,F
阿富汗,G
阿尔巴尼亚,G
亚美尼亚,G
安哥拉,G
美属萨摩亚,G
阿塞拜疆,G
布基纳法索,G
布隆迪,G
贝宁,G
白俄罗斯,G
刚果民主共和国,G
刚果,G
库克群岛,G
喀麦隆,G
佛得角,G
吉布提,G
阿尔及利亚,G
厄立特里亚,G
埃塞俄比亚,G
密克罗尼西亚,G
法罗群岛,G
加蓬,G
格鲁吉亚,G
加纳,G
冈比亚,G
几内亚,G
关岛,G
肯尼亚,G
吉尔吉斯斯坦,G
哈萨克斯坦,G
利比里亚,G
利比亚,G
摩洛哥,G
摩尔多瓦,G
马达加斯加,G
马绍尔群岛,G
马里,G
蒙古,G
毛里塔尼亚,G
毛里求斯,G
马拉维,G
莫桑比克,G
纳米比亚,G
新喀里多尼亚,G
尼日尔,G
尼日利亚,G
巴布亚新几内亚,G
帕劳,G
俄罗斯,G
卢旺达,G
塞舌尔,G
塞内加尔,G
乍得,G
多哥,G
突尼斯,G
汤加,G
坦桑尼亚,G
乌克兰,G
乌干达,G
瓦努阿图,G
萨摩亚,G
赞比亚,G
津巴布韦,G
伊拉克,H
约旦,H
黎巴嫩,H
莱索托,H
阿曼,H
卡塔尔,H
叙利亚,H
斯威士兰,H
也门,H
南非,H
斯里兰卡,I
波斯尼亚和黑塞哥维那,J
塞尔维亚,J
安圭拉,L
阿鲁巴,L
巴巴多斯,L
百慕大,L
玻利维亚,L
不丹,L
伯利兹,L
哥斯达黎加,L
多米尼加共和国,L
厄瓜多尔,L
危地马拉,L
圭亚那,L
洪都拉斯,L
海地,L
牙买加,L
开曼群岛,L
马提尼克,L
马尔代夫,L
尼加拉瓜,L
巴拿马,L
秘鲁,L
巴拉圭,L
苏里南,L
萨尔瓦多,L
特立尼达和多巴哥,L
乌拉圭,L
圣文森特岛,L
委内瑞拉,L
英属维尔京群岛,L
美属维尔京群岛,L
库拉索,L
圣马丁,L
泰国,R
