渠道,是否文件,是否带电,重量,1,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,X,Y,Z
中速联邦IP文件,是,否,0.5,107,46,68,146,145,99,174,205,179,122,195,105,205,111,111,110,92,68,68,68,68,99,46,58,68,58
中速联邦IP物品,否,否,0.5,166,66,108,225,177,119,213,261,214,146,234,119,225,126,175,172,116,108,108,108,108,119,66,91,108,91
中速联邦IP物品,否,否,1,220,74,130,267,233,145,278,340,285,193,304,156,267,165,220,210,146,130,130,130,130,145,74,111,130,111
中速联邦IP物品,否,否,1.5,270,83,153,321,289,172,344,420,356,240,373,193,321,204,270,260,176,153,153,153,153,172,83,130,153,130
中速联邦IP物品,否,否,2,321,91,176,375,345,199,409,500,427,287,443,231,375,243,321,311,206,176,176,176,176,199,91,150,176,150
中速联邦IP物品,否,否,2.5,371,99,199,429,401,226,475,579,498,334,513,268,429,282,371,361,236,199,199,199,199,226,99,170,199,170
中速联邦IP物品,否,否,3,384,108,221,435,458,252,540,659,512,381,583,305,435,321,384,366,266,221,221,221,221,252,108,190,221,190
中速联邦IP物品,否,否,3.5,430,116,244,484,513,279,604,737,573,427,652,342,484,360,430,410,295,244,244,244,244,279,116,209,244,209
中速联邦IP物品,否,否,4,476,124,267,533,567,305,667,816,635,473,721,379,533,398,476,454,324,267,267,267,267,305,124,229,267,229
中速联邦IP物品,否,否,4.5,522,132,289,582,622,332,730,894,696,519,790,416,582,436,522,498,353,289,289,289,289,332,132,249,289,249
中速联邦IP物品,否,否,5,569,140,312,631,677,358,793,972,758,565,858,453,631,475,569,542,382,312,312,312,312,358,140,268,312,268
中速联邦IP物品,否,否,5.5,571,148,334,647,732,384,857,1049,815,610,927,490,647,513,575,586,409,334,334,334,334,384,148,288,334,288
中速联邦IP物品,否,否,6,614,155,357,693,786,410,920,1126,873,655,996,526,693,551,619,629,437,357,357,357,357,410,155,307,357,307
中速联邦IP物品,否,否,6.5,657,163,379,740,841,436,983,1202,931,700,1064,563,740,589,663,673,465,379,379,379,379,436,163,327,379,327
中速联邦IP物品,否,否,7,700,171,402,786,895,462,1046,1279,989,745,1133,600,786,627,706,716,492,402,402,402,402,462,171,346,402,346
中速联邦IP物品,否,否,7.5,743,179,424,832,949,489,1109,1356,1046,790,1202,636,832,665,750,760,520,424,424,424,424,489,179,366,424,366
中速联邦IP物品,否,否,8,787,186,447,878,1004,515,1172,1433,1104,835,1270,673,878,703,793,803,548,447,447,447,447,515,186,385,447,385
中速联邦IP物品,否,否,8.5,830,194,469,925,1058,541,1235,1509,1162,880,1339,709,925,741,837,847,576,469,469,469,469,541,194,405,469,405
中速联邦IP物品,否,否,9,873,202,491,971,1113,567,1298,1586,1219,925,1408,746,971,779,881,890,603,491,491,491,491,567,202,424,491,424
中速联邦IP物品,否,否,9.5,916,210,514,1017,1167,593,1361,1663,1277,970,1476,783,1017,817,924,934,631,514,514,514,514,593,210,444,514,444
中速联邦IP物品,否,否,10,959,218,536,1063,1221,619,1424,1739,1335,1015,1545,819,1063,855,968,977,659,536,536,536,536,619,218,463,536,463
中速联邦IP物品,否,否,10.5,967,225,559,2073,1274,645,1484,1815,1392,1059,1612,855,2073,893,1051,1020,686,559,559,559,559,645,225,483,559,483
中速联邦IP物品,否,否,11,1000,232,581,2159,1327,671,1545,1891,1448,1103,1678,892,2159,930,1088,1062,713,581,581,581,581,671,232,502,581,502
中速联邦IP物品,否,否,11.5,1032,240,603,2244,1380,725,1606,1967,1505,1147,1744,928,2244,968,1125,1104,741,603,603,603,603,725,240,542,603,542
中速联邦IP物品,否,否,12,1065,247,626,2329,1433,752,1667,2043,1561,1191,1811,964,2329,1005,1163,1147,768,626,626,626,626,752,247,562,626,562
中速联邦IP物品,否,否,12.5,1097,265,648,2414,1486,779,1727,2119,1618,1235,1877,1000,2414,1043,1200,1189,796,648,648,648,648,779,265,582,648,582
中速联邦IP物品,否,否,13,1130,273,670,2499,1539,805,1788,2195,1675,1279,1944,1036,2499,1080,1238,1231,823,670,670,670,670,805,273,603,670,603
中速联邦IP物品,否,否,13.5,1162,281,693,2584,1592,832,1849,2270,1731,1323,2010,1072,2584,1118,1275,1274,850,693,693,693,693,832,281,623,693,623
中速联邦IP物品,否,否,14,1195,288,715,2670,1645,859,1910,2346,1788,1367,2076,1109,2670,1156,1313,1316,878,715,715,715,715,859,288,643,715,643
中速联邦IP物品,否,否,14.5,1227,296,737,2755,1698,886,1970,2422,1844,1411,2143,1145,2755,1193,1350,1359,905,737,737,737,737,886,296,663,737,663
中速联邦IP物品,否,否,15,1260,304,760,2840,1751,913,2031,2498,1901,1456,2209,1181,2840,1231,1387,1401,933,760,760,760,760,913,304,683,760,683
中速联邦IP物品,否,否,15.5,1292,312,782,2925,1804,940,2092,2574,1957,1500,2276,1217,2925,1268,1425,1443,960,782,782,782,782,940,312,703,782,703
中速联邦IP物品,否,否,16,1325,320,804,3011,1857,967,2153,2650,2014,1544,2342,1253,3011,1306,1462,1486,987,804,804,804,804,967,320,723,804,723
中速联邦IP物品,否,否,16.5,1357,327,827,3096,1910,994,2213,2726,2071,1588,2408,1289,3096,1343,1500,1528,1015,827,827,827,827,994,327,743,827,743
中速联邦IP物品,否,否,17,1390,335,849,3181,1963,1021,2274,2801,2127,1632,2475,1326,3181,1381,1537,1571,1042,849,849,849,849,1021,335,764,849,764
中速联邦IP物品,否,否,17.5,1422,343,871,3266,2016,1047,2335,2877,2184,1676,2541,1362,3266,1419,1574,1613,1070,871,871,871,871,1047,343,784,871,784
中速联邦IP物品,否,否,18,1455,351,894,3351,2069,1074,2396,2953,2240,1720,2608,1398,3351,1456,1612,1655,1097,894,894,894,894,1074,351,804,894,804
中速联邦IP物品,否,否,18.5,1487,358,916,3437,2122,1101,2456,3029,2297,1764,2674,1434,3437,1494,1649,1698,1125,916,916,916,916,1101,358,824,916,824
中速联邦IP物品,否,否,19,1511,366,938,3522,2175,1128,2517,3105,2354,1792,2740,1470,3522,1531,1659,1740,1152,938,938,938,938,1128,366,844,938,844
中速联邦IP物品,否,否,19.5,1511,374,960,3607,2228,1155,2567,3181,2410,1792,2804,1487,3607,1561,1659,1782,1179,960,960,960,960,1155,374,864,960,864
中速联邦IP物品,否,否,20,1511,374,983,3692,2281,1182,2567,3234,2467,1792,2804,1487,3692,1561,1659,1825,1205,983,983,983,983,1182,374,884,983,884
中速联邦IP物品,否,否,20.5,1511,374,991,3765,2294,1255,2567,3234,2504,1792,2804,1487,3765,1561,1659,1834,1205,991,991,991,991,1255,374,901,991,901
中速联邦IE物品,否,否,0.5,163,65,105,220,174,116,208,256,209,143,229,116,220,124,172,168,114,105,105,105,105,116,65,89,105,89
中速联邦IE物品,否,否,1,216,73,128,262,229,142,273,334,279,189,297,153,262,162,216,206,143,128,128,128,128,142,73,108,128,108
中速联邦IE物品,否,否,1.5,265,81,150,315,283,169,337,412,349,235,366,190,315,200,265,255,173,150,150,150,150,169,81,128,150,128
中速联邦IE物品,否,否,2,314,89,172,367,338,195,401,490,418,281,434,226,367,238,314,305,202,172,172,172,172,195,89,147,172,147
中速联邦IE物品,否,否,2.5,364,97,195,420,393,221,465,568,488,328,503,263,420,277,364,354,232,195,195,195,195,221,97,167,195,167
中速联邦IE物品,否,否,3,376,105,217,427,448,247,530,646,502,374,571,299,427,315,376,359,261,217,217,217,217,247,105,186,217,186
中速联邦IE物品,否,否,3.5,422,113,239,475,502,273,592,723,562,419,639,335,475,352,422,402,289,239,239,239,239,273,113,205,239,205
中速联邦IE物品,否,否,4,467,121,261,523,556,299,654,799,622,464,706,372,523,390,467,445,318,261,261,261,261,299,121,225,261,225
中速联邦IE物品,否,否,4.5,512,129,283,571,610,325,716,876,682,509,774,408,571,428,512,488,346,283,283,283,283,325,129,244,283,244
中速联邦IE物品,否,否,5,557,137,306,619,664,351,778,953,743,554,841,444,619,465,557,531,374,306,306,306,306,351,137,263,306,263
中速联邦IE物品,否,否,5.5,560,145,328,634,717,376,839,1028,799,598,909,480,634,503,564,574,401,328,328,328,328,376,145,282,328,282
中速联邦IE物品,否,否,6,602,152,350,679,770,402,901,1103,856,642,976,516,679,540,607,616,428,350,350,350,350,402,152,301,350,301
中速联邦IE物品,否,否,6.5,644,160,371,725,824,428,963,1178,912,686,1043,552,725,577,649,659,455,371,371,371,371,428,160,320,371,320
中速联邦IE物品,否,否,7,686,167,394,770,877,453,1025,1254,969,730,1111,588,770,614,692,702,483,394,394,394,394,453,167,339,394,339
中速联邦IE物品,否,否,7.5,729,175,416,815,930,479,1086,1329,1025,774,1178,624,815,652,735,744,510,416,416,416,416,479,175,358,416,358
中速联邦IE物品,否,否,8,771,183,438,861,984,504,1148,1404,1082,818,1245,659,861,689,778,787,537,438,438,438,438,504,183,378,438,378
中速联邦IE物品,否,否,8.5,813,190,460,906,1037,530,1210,1479,1139,862,1312,695,906,726,820,830,564,460,460,460,460,530,190,397,460,397
中速联邦IE物品,否,否,9,856,198,482,951,1090,556,1272,1554,1195,906,1380,731,951,763,863,872,591,482,482,482,482,556,198,416,482,416
中速联邦IE物品,否,否,9.5,898,205,504,997,1144,581,1333,1629,1252,950,1447,767,997,801,906,915,618,504,504,504,504,581,205,435,504,435
中速联邦IE物品,否,否,10,940,213,526,1042,1197,607,1395,1705,1308,994,1514,803,1042,838,949,958,645,526,526,526,526,607,213,454,526,454
中速联邦IE物品,否,否,10.5,943,218,536,1866,1198,632,1395,1706,1315,995,1515,804,1866,839,977,958,659,536,536,536,536,619,218,463,536,463
中速联邦IE物品,否,否,11,975,226,558,1943,1248,658,1452,1778,1369,1037,1576,838,1943,874,1012,998,685,558,558,558,558,644,226,482,558,482
中速联邦IE物品,否,否,11.5,1006,233,579,1956,1297,710,1510,1849,1422,1078,1576,872,2019,910,1047,1038,711,579,579,579,579,696,233,521,579,521
中速联邦IE物品,否,否,12,1006,240,601,1956,1347,737,1543,1920,1475,1120,1576,906,2096,945,1081,1078,738,601,601,601,601,721,240,540,601,540
中速联邦IE物品,否,否,12.5,1006,257,622,1956,1397,763,1543,1992,1529,1161,1576,940,2173,980,1116,1118,764,622,622,622,622,747,257,559,622,559
中速联邦IE物品,否,否,13,1006,265,643,1956,1447,789,1543,2063,1582,1203,1576,974,2249,1016,1151,1158,790,643,643,643,643,773,265,579,643,579
中速联邦IE物品,否,否,13.5,1006,272,665,1956,1497,816,1543,2134,1636,1244,1576,1008,2249,1051,1158,1197,816,665,665,665,665,799,272,598,665,598
中速联邦IE物品,否,否,14,1006,280,686,1956,1547,842,1543,2206,1689,1285,1576,1042,2249,1086,1158,1237,843,686,686,686,686,825,280,617,686,617
中速联邦IE物品,否,否,14.5,1006,287,708,1956,1596,868,1543,2277,1743,1327,1576,1076,2249,1122,1158,1277,869,708,708,708,708,851,287,636,708,636
中速联邦IE物品,否,否,15,1006,295,729,1956,1646,895,1543,2348,1796,1368,1576,1110,2249,1157,1158,1317,895,729,729,729,729,876,295,656,729,656
中速联邦IE物品,否,否,15.5,1006,303,751,1956,1696,921,1543,2419,1850,1410,1576,1144,2249,1192,1158,1357,922,751,751,751,751,902,303,675,751,675
中速联邦IE物品,否,否,16,1006,310,772,1956,1746,947,1543,2491,1903,1451,1576,1178,2249,1228,1158,1397,948,772,772,772,772,928,310,694,772,694
中速联邦IE物品,否,否,16.5,1006,318,793,1956,1795,974,1543,2562,1957,1493,1576,1212,2249,1247,1158,1436,974,793,793,793,793,954,318,714,793,714
中速联邦IE物品,否,否,17,1006,325,815,1956,1845,1000,1543,2633,2010,1534,1576,1246,2249,1247,1158,1476,1001,815,815,815,815,980,325,733,815,733
中速联邦IE物品,否,否,17.5,1006,333,836,1956,1895,1026,1543,2705,2064,1575,1576,1247,2249,1247,1158,1516,1009,836,836,836,836,1006,333,752,836,752
中速联邦IE物品,否,否,18,1006,340,858,1956,1945,1053,1543,2776,2117,1617,1576,1247,2249,1247,1158,1556,1009,858,858,858,858,1031,340,772,858,772
中速联邦IE物品,否,否,18.5,1006,348,879,1956,1950,1079,1543,2847,2128,1658,1576,1247,2249,1247,1158,1558,1009,879,879,879,879,1057,348,791,879,791
中速联邦IE物品,否,否,19,1006,355,901,1956,1950,1105,1543,2919,2128,1685,1576,1247,2249,1247,1158,1558,1009,901,901,901,901,1083,355,810,901,810
中速联邦IE物品,否,否,19.5,1006,363,908,1956,1950,1132,1543,2990,2128,1685,1576,1247,2249,1247,1158,1558,1009,908,908,908,908,1109,363,830,908,830
中速联邦IE物品,否,否,20,1006,363,908,1956,1950,1158,1543,3018,2128,1685,1576,1247,2249,1247,1158,1558,1009,908,908,908,908,1135,363,849,908,849
中速联邦IE物品,否,否,20.5,1006,363,908,1956,1950,1230,1543,3018,2128,1685,1576,1247,2249,1247,1158,1558,1009,908,908,908,908,1205,363,865,908,865
,,,,16,8,8,16,15,8,15,15,15,15,15,15,16,15,16,15,8,8,8,8,8,8,8,8,8,8
