渠道,国家,类型,是否带电,处理费,首重g,首重资费,续重g,续重资费,最低折扣,计泡条件（最长边大于）,计泡系数,重量限制（kg）,尺寸限制（最长边不大于）(cm),尺寸限制（围长）(cm),尺寸限制（三边和）(cm),备注
标准EMS,中国台湾,文件,否,0,500,90,500,30,0.46,,,1,,,,
标准EMS,中国澳门,文件,否,0,500,70,500,30,0.46,,,1,,,,
标准EMS,中国香港,文件,否,0,500,70,500,30,0.46,,,1,,,,
标准EMS,朝鲜,文件,否,0,500,115,500,40,0.46,,,1,,,,
标准EMS,日本,文件,否,0,500,115,500,40,0.46,,,1,,,,
标准EMS,韩国,文件,否,0,500,115,500,40,0.4,,,1,,,,
标准EMS,菲律宾,文件,否,0,500,130,500,45,0.46,,,1,,,,
标准EMS,柬埔寨,文件,否,0,500,130,500,45,0.46,,,1,,,,
标准EMS,蒙古,文件,否,0,500,130,500,45,0.46,,,1,,,,
标准EMS,泰国,文件,否,0,500,130,500,45,0.46,,,1,,,,
标准EMS,新加坡,文件,否,0,500,130,500,45,0.46,,,1,,,,
标准EMS,印度尼西亚,文件,否,0,500,130,500,45,0.46,,,1,,,,
标准EMS,越南,文件,否,0,500,130,500,45,0.46,,,1,,,,
标准EMS,缅甸,文件,否,0,500,130,500,45,,,,1,,,,
标准EMS,马来西亚,文件,否,0,500,130,500,45,0.5,,,1,,,,
标准EMS,澳大利亚,文件,否,0,500,160,500,55,0.65,,,1,,,,
标准EMS,新西兰,文件,否,0,500,160,500,55,0.65,,,1,,,,
标准EMS,巴布亚新几内亚,文件,否,0,500,160,500,55,0.46,,,1,,,,
标准EMS,美国,文件,否,0,500,320,500,75,0.8,,,1,,,,
标准EMS,爱尔兰,文件,否,0,500,220,500,75,0.46,,,1,,,,
标准EMS,奥地利,文件,否,0,500,220,500,75,0.46,,,1,,,,
标准EMS,比利时,文件,否,0,500,220,500,75,0.46,,,1,,,,
标准EMS,丹麦,文件,否,0,500,220,500,75,0.46,,,1,,,,
标准EMS,瑞典,文件,否,0,500,220,500,75,0.46,,,1,,,,
标准EMS,希腊,文件,否,0,500,220,500,75,0.46,,,1,,,,
标准EMS,立陶宛,文件,否,0,500,220,500,75,0.55,,,1,,,,
标准EMS,葡萄牙,文件,否,0,500,220,500,75,0.6,,,1,,,,
标准EMS,卢森堡,文件,否,0,500,220,500,75,0.55,,,1,,,,
标准EMS,瑞士,文件,否,0,500,220,500,75,0.6,,,1,,,,
标准EMS,芬兰,文件,否,0,500,220,500,75,0.55,,,1,,,,
标准EMS,马耳他,文件,否,0,500,220,500,75,0.75,,,1,,,,
标准EMS,德国,文件,否,0,500,220,500,75,0.55,,,1,,,,
标准EMS,英国,文件,否,0,500,220,500,75,0.55,,,1,,,,
标准EMS,荷兰,文件,否,0,500,220,500,75,0.46,,,1,,,,
标准EMS,法国,文件,否,0,500,220,500,75,0.5,,,1,,,,
标准EMS,意大利,文件,否,0,500,220,500,75,0.5,,,1,,,,
标准EMS,西班牙,文件,否,0,500,220,500,75,0.5,,,1,,,,
标准EMS,挪威,文件,否,0,500,220,500,75,0.65,,,1,,,,
标准EMS,南非,文件,否,0,500,220,500,75,0.55,,,1,,,,
标准EMS,加拿大,文件,否,0,500,220,500,75,0.6,,,1,,,,
标准EMS,土耳其,文件,否,0,500,240,500,80,0.46,,,1,,,,
标准EMS,斯里兰卡,文件,否,0,500,240,500,80,0.46,,,1,,,,
标准EMS,老挝,文件,否,0,500,240,500,80,0.46,,,1,,,,
标准EMS,尼泊尔,文件,否,0,500,240,500,80,0.46,,,1,,,,
标准EMS,孟加拉国,文件,否,0,500,240,500,80,0.46,,,1,,,,
标准EMS,印度,文件,否,0,500,240,500,80,0.46,,,1,,,,
标准EMS,巴基斯坦,文件,否,0,500,240,500,80,0.46,,,1,,,,
标准EMS,巴西,文件,否,0,500,260,500,100,0.46,,,1,,,,
标准EMS,墨西哥,文件,否,0,500,260,500,100,0.65,,,1,,,,
标准EMS,俄罗斯,文件,否,0,500,260,500,100,0.46,,,1,,,,
标准EMS,秘鲁,文件,否,0,500,260,500,100,0.46,,,1,,,,
标准EMS,阿根廷,文件,否,0,500,260,500,100,0.46,,,1,,,,
标准EMS,摩尔多瓦,文件,否,0,500,260,500,100,0.46,,,1,,,,
标准EMS,古巴,文件,否,0,500,260,500,100,0.46,,,1,,,,
标准EMS,阿联酋,文件,否,0,500,260,500,100,0.46,,,1,,,,
标准EMS,巴拿马,文件,否,0,500,260,500,100,0.46,,,1,,,,
标准EMS,捷克,文件,否,0,500,260,500,100,0.46,,,1,,,,
标准EMS,约旦,文件,否,0,500,260,500,100,0.46,,,1,,,,
标准EMS,黎巴嫩,文件,否,0,500,260,500,100,0.46,,,1,,,,
标准EMS,哥斯达黎加,文件,否,0,500,260,500,100,0.46,,,1,,,,
标准EMS,圭亚那,文件,否,0,500,260,500,100,0.46,,,1,,,,
标准EMS,乌拉圭,文件,否,0,500,260,500,100,0.46,,,1,,,,
标准EMS,乌克兰,文件,否,0,500,260,500,100,0.55,,,1,,,,
标准EMS,匈牙利,文件,否,0,500,260,500,100,0.55,,,1,,,,
标准EMS,白俄罗斯,文件,否,0,500,260,500,100,0.6,,,1,,,,
标准EMS,哥伦比亚,文件,否,0,500,260,500,100,0.46,,,1,,,,
标准EMS,以色列,文件,否,0,500,260,500,100,0.46,,,1,,,,
