国家,分区,营销费
中国澳门,A,8
中国香港,V,8
中国台湾,X,8
韩国,Z,8
日本,P,8
越南,B,8
文莱,G,15
柬埔寨,G,15
老挝,G,15
马来西亚,Q,8
菲律宾,S,8
印度尼西亚,T,8
新加坡,Y,8
新西兰,E,8
澳大利亚,U,8
美国,1,16
墨西哥,L,16
加拿大,N,16
保加利亚,F,15
捷克共和国,F,15
爱沙尼亚,F,15
希腊,F,15
克罗地亚,F,15
匈牙利,F,15
立陶宛,F,15
拉脱维亚,F,15
波兰,F,15
斯洛文尼亚,F,15
斯洛伐克,F,15
安道尔,G,15
塞浦路斯,G,15
直布罗陀,G,15
冰岛,G,15
摩纳哥,G,15
马耳他,G,15
列支敦士登,J,15
比利时,K,15
德国,K,15
英国,K,15
荷兰,K,15
奥地利,M,15
瑞士,M,15
丹麦,M,15
西班牙,M,15
芬兰,M,15
法国,M,15
爱尔兰,M,15
意大利,M,15
卢森堡,M,15
挪威,M,15
葡萄牙,M,15
瑞典,M,15
印度,O,15
土耳其,F,15
埃及,H,15
科威特,H,15
阿拉伯联合酋长国,I,15
巴林,I,15
以色列,I,15
沙特阿拉伯,I,15
阿根廷,C,16
巴西,C,16
智利,C,16
哥伦比亚,C,16
孟加拉,D,15
尼泊尔,D,15
巴基斯坦,D,15
罗马尼亚,F,15
阿富汗,G,15
阿尔巴尼亚,G,15
亚美尼亚,G,15
安哥拉,G,15
美属萨摩亚,G,15
阿塞拜疆,G,15
布基纳法索,G,15
布隆迪,G,15
贝宁,G,15
白俄罗斯,G,15
刚果民主共和国,G,15
刚果,G,15
库克群岛,G,15
喀麦隆,G,15
佛得角,G,15
吉布提,G,15
阿尔及利亚,G,15
厄立特里亚,G,15
埃塞俄比亚,G,15
密克罗尼西亚,G,15
法罗群岛,G,15
加蓬,G,15
格鲁吉亚,G,15
加纳,G,15
冈比亚,G,15
几内亚,G,15
关岛,G,15
肯尼亚,G,15
吉尔吉斯斯坦,G,15
哈萨克斯坦,G,15
利比里亚,G,15
利比亚,G,15
摩洛哥,G,15
摩尔多瓦,G,15
马达加斯加,G,15
马绍尔群岛,G,15
马里,G,15
蒙古,G,15
毛里塔尼亚,G,15
毛里求斯,G,15
马拉维,G,15
莫桑比克,G,15
纳米比亚,G,15
新喀里多尼亚,G,15
尼日尔,G,15
尼日利亚,G,15
巴布亚新几内亚,G,15
帕劳,G,15
俄罗斯,G,15
卢旺达,G,15
塞舌尔,G,15
塞内加尔,G,15
乍得,G,15
多哥,G,15
突尼斯,G,15
汤加,G,15
坦桑尼亚,G,15
乌克兰,G,15
乌干达,G,15
瓦努阿图,G,15
萨摩亚,G,15
赞比亚,G,15
津巴布韦,G,15
伊拉克,H,15
约旦,H,15
黎巴嫩,H,15
莱索托,H,15
阿曼,H,15
卡塔尔,H,15
叙利亚,H,15
斯威士兰,H,15
也门,H,15
南非,H,15
斯里兰卡,I,15
波斯尼亚和黑塞哥维那,J,15
塞尔维亚,J,15
安圭拉,L,16
阿鲁巴,L,16
巴巴多斯,L,16
百慕大,L,16
玻利维亚,L,16
不丹,L,16
伯利兹,L,16
哥斯达黎加,L,16
多米尼加共和国,L,16
厄瓜多尔,L,16
危地马拉,L,16
圭亚那,L,16
洪都拉斯,L,16
海地,L,16
牙买加,L,16
开曼群岛,L,16
马提尼克,L,16
马尔代夫,L,16
尼加拉瓜,L,16
巴拿马,L,16
秘鲁,L,16
巴拉圭,L,16
苏里南,L,16
萨尔瓦多,L,16
特立尼达和多巴哥,L,16
乌拉圭,L,16
圣文森特岛,L,16
委内瑞拉,L,16
英属维尔京群岛,L,16
美属维尔京群岛,L,16
库拉索,L,16
圣马丁,L,16
泰国,R,8
